id,name,hash,executed_at
0,create-migrations-table,e18db593bcde2aca2a408c4d1100f6abba2195df,2025-04-20 13:50:06.54755
1,initialmigration,6ab16121fbaa08bbd11b712d05f358f9b555d777,2025-04-20 13:50:06.555798
2,storage-schema,5c7968fd083fcea04050c1b7f6253c9771b99011,2025-04-20 13:50:06.558671
3,pathtoken-column,2cb1b0004b817b29d5b0a971af16bafeede4b70d,2025-04-20 13:50:06.577413
4,add-migrations-rls,427c5b63fe1c5937495d9c635c263ee7a5905058,2025-04-20 13:50:06.602522
5,add-size-functions,79e081a1455b63666c1294a440f8ad4b1e6a7f84,2025-04-20 13:50:06.605683
6,change-column-name-in-get-size,f93f62afdf6613ee5e7e815b30d02dc990201044,2025-04-20 13:50:06.610895
7,add-rls-to-buckets,e7e7f86adbc51049f341dfe8d30256c1abca17aa,2025-04-20 13:50:06.615445
8,add-public-to-buckets,fd670db39ed65f9d08b01db09d6202503ca2bab3,2025-04-20 13:50:06.619199
9,fix-search-function,3a0af29f42e35a4d101c259ed955b67e1bee6825,2025-04-20 13:50:06.623184
10,search-files-search-function,68dc14822daad0ffac3746a502234f486182ef6e,2025-04-20 13:50:06.629629
11,add-trigger-to-auto-update-updated_at-column,7425bdb14366d1739fa8a18c83100636d74dcaa2,2025-04-20 13:50:06.63499
12,add-automatic-avif-detection-flag,8e92e1266eb29518b6a4c5313ab8f29dd0d08df9,2025-04-20 13:50:06.639695
13,add-bucket-custom-limits,cce962054138135cd9a8c4bcd531598684b25e7d,2025-04-20 13:50:06.642918
14,use-bytes-for-max-size,941c41b346f9802b411f06f30e972ad4744dad27,2025-04-20 13:50:06.646385
15,add-can-insert-object-function,934146bc38ead475f4ef4b555c524ee5d66799e5,2025-04-20 13:50:06.680441
16,add-version,76debf38d3fd07dcfc747ca49096457d95b1221b,2025-04-20 13:50:06.684045
17,drop-owner-foreign-key,f1cbb288f1b7a4c1eb8c38504b80ae2a0153d101,2025-04-20 13:50:06.687288
18,add_owner_id_column_deprecate_owner,e7a511b379110b08e2f214be852c35414749fe66,2025-04-20 13:50:06.694447
19,alter-default-value-objects-id,02e5e22a78626187e00d173dc45f58fa66a4f043,2025-04-20 13:50:06.700564
20,list-objects-with-delimiter,cd694ae708e51ba82bf012bba00caf4f3b6393b7,2025-04-20 13:50:06.707109
21,s3-multipart-uploads,8c804d4a566c40cd1e4cc5b3725a664a9303657f,2025-04-20 13:50:06.717966
22,s3-multipart-uploads-big-ints,9737dc258d2397953c9953d9b86920b8be0cdb73,2025-04-20 13:50:06.746767
23,optimize-search-function,9d7e604cddc4b56a5422dc68c9313f4a1b6f132c,2025-04-20 13:50:06.776654
24,operation-function,8312e37c2bf9e76bbe841aa5fda889206d2bf8aa,2025-04-20 13:50:06.780606
25,custom-metadata,d974c6057c3db1c1f847afa0e291e6165693b990,2025-04-20 13:50:06.784071